Name,Phone,Website,Address,Hours,Plus Code,ADA,Image,State,City,Zip,LGBTQ+ friendly,Veteran Owned,Women-owned
Florida Bulk Water Sales,13525866268,http://www.floridabulkwatersales.com/,"7358 E Tarawood Blvd, ","Sunday
(Easter)
8 AM–5 PM
Hours might differ

Monday
8 AM–5 PM

Tuesday
8 AM–5 PM

Wednesday
8 AM–5 PM

Thursday
8 AM–5 PM

Friday
8 AM–5 PM

Saturday
8 AM–5 PM","PM5Q+M2 Floral City, Florida",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aihmH8Z-LMEiwR8eZZ5VDw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=290.5973&pitch=0&thumbfov=100,,,,,,
Premier Water Services LLC,12399003455,http://www.premierwaterservicesfl.com/,1126 SE 12th Ct,"Sunday
Closed

Monday
8 AM–5 PM

Tuesday
8 AM–5 PM

Wednesday
8 AM–5 PM

Thursday
8 AM–5 PM

Friday
8 AM–5 PM

Saturday
8 AM–12 PM",,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLlmFUq5yTOvmPgKi5YmWd3QsEuW_O5S35UESGYrQwUb1ohI5x8luIVImlJreZuE5p6qq28fKNDhLTIWT1BtxvDYIYmDlWI9NNfyZeYm0BKLhfyv4UPK177z4PvpsByOHP8Li5=w408-h692-k-no,FL,Cape Coral,33990,,,
Davis Water Service,18002348845,https://www.daviswaterservice.com/,"1855 Fairbanks St, Lakeland, FL 33805","Sunday
(Easter)
Closed
Hours might differ

Monday
8 AM–5 PM

Tuesday
8 AM–5 PM

Wednesday
8 AM–5 PM

Thursday
8 AM–5 PM

Friday
8 AM–5 PM

Saturday
Closed","3287+XV Lakeland, Florida",Wheelchair accessible entrance,https://lh3.googleusercontent.com/gps-cs-s/AHVAweojFhFSOXpI9HpRFiHpWTk0lQRtJ_r0TUA08ECTlVJO_BwZQxkkOUhr5NzVJ8rvi8h7PcUdnIiNUKcNZg4LBGGghiV8efFqaUHJ5_Q5V2iTLUvTZ9xvyl3ysgT8RSdT3lxSVSTi=w426-h240-k-no,FL,Lakeland,33805,,,
D&D Bulk Water Delivery Services,13217014494,https://ddbulkwaterservices.com/,"221 W Hibiscus Blvd, ","Sunday
(Easter)
Closed
Hours might differ

Monday
8 AM–5 PM

Tuesday
8 AM–5 PM

Wednesday
8 AM–5 PM

Thursday
8:30 AM–5 PM

Friday
8 AM–7 PM

Saturday
8 AM–4 PM",,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepjmh6fYSdc8d2oq-faBzvnWVEOKZEoLZiyfV1sCDOvgHHXIIk1BYtlbj_EE9x2k9YabFcSBcS4HonS11Rx9oLvPRcli1xfmcBdgP_axx73q0-IDYD5LmXGsvgwTn306b5CWUT3gs_SWC_s=w408-h306-k-no,FL,Melbourne,32901,Y,,
Alpha Pool Fill & Bulk Water,13864025109,http://alphapoolfill.com/,,"Sunday
(Easter)
Open 24 hours
Hours might differ

Monday
Open 24 hours

Tuesday
Open 24 hours

Wednesday
Open 24 hours

Thursday
Open 24 hours

Friday
Open 24 hours

Saturday
Open 24 hours",,,,,,,,,
AG Water Solutions,12392728172,https://sites.google.com/view/agwatersolutions,,"Sunday
(Easter)
Closed
Hours might differ

Monday
6 AM–6 PM

Tuesday
6 AM–6 PM

Wednesday
6 AM–6 PM

Thursday
6 AM–6 PM

Friday
6 AM–6 PM

Saturday
6 AM–6 PM",,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerjq-sDIZZQZ9e1G4e7HkuvsXrwrnsN9LEifz0laZGyqMWAPxH80rgQg-jWUMXAH1wbJL51RyN3VtKBO-IupBiP48dvZU-TLIuhepV5I32UHTKkS0pMYRRozurSa6yh5sKyWOY=w519-h240-k-no,,,,,,
"Lunde Water, LLC",16612695087,http://lundewaterllc.com/,3370 Country Way,"Sunday
(Easter)
Closed
Hours might differ

Monday
7 AM–5 PM

Tuesday
7 AM–5 PM

Wednesday
7 AM–5 PM

Thursday
7 AM–5 PM

Friday
7 AM–5 PM

Saturday
7 AM–5 PM","FR44+VJ Acton, California",Wheelchair accessible entrance,https://lh3.googleusercontent.com/gps-cs-s/AHVAweok2uOxlaSPrFqP_BuRLlNR_ihCxm6FAckkPiKqPZsBQMQiNTOCfRSy9ohQ2z9Aq-YQ0yA7xhnOIQ1OVY4h5aYQtl-iaR5fwGHTexvXRD8yw2NaIn784y8o7QE0V2an8Ret6PHm=w408-h271-k-no,CA,Acton,93510,,,
Lone Star Bulk Water Delivery,15125880246,http://www.lonestarwaterdelivery.com/,8219 Co Rd 404,"Sunday
8 AM–8 PM

Monday
7 AM–9 PM

Tuesday
7 AM–9 PM

Wednesday
7 AM–9 PM

Thursday
7 AM–9 PM

Friday
7 AM–9 PM

Saturday
7 AM–9 PM","FRGV+RX Spicewood, Texas",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqIS4zDUMw0g4f2joZgzLNkhx2gXvgYxW8vdeW_cdnu6_5-xGx-M7oueVQ0mZLfFrT2Dbme9Rf-d2gsjec-bMLLO9TLQCdmf60UJZQ3TndmFKXZ9KLThDKrpzSa_M1ALBf7LWtstiRToAB3=w408-h306-k-no,TX,Spicewood,78669,,,
Live Oak Water Delivery,,https://liveoakwaterdelivery.com/,502 S Myrtle St,"Sunday
Open 24 hours

Monday
Open 24 hours

Tuesday
Open 24 hours

Wednesday
Open 24 hours

Thursday
Open 24 hours

Friday
Open 24 hours

Saturday
Open 24 hours","J8QF+JV Georgetown, Texas",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq_2FQl9g5i-0ssaofEV6i5R-Cmt2xbogoo96b6w8EvbUtUOANCzTOGS60E0dgkrqWQILOKghGadwSzoL0I1wR5V6gO6VeXY_X9Ck5gnwlodSnz830xcAIYMDJSM_wSl5UdW0Cn6fE4o0k=w408-h544-k-no,TX,Georgetown,78626,,Y,
Wrangler bulk Water Delivery,15129393121,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepuiYQ9FFThmnrX-xwwCJlRvaSxiJpAgiHYaIsBsjomHEvt9EcvmKJtfXjalIEaVImLIc930q0UyNt9Yum8C_MBZvwDKwDZPt9_FpuOPIX6bCqUXADXfh4FNCKv8vOvJWEA9HPjlvKKo2oN=w408-h544-k-no,TX,,,,,
