name,Claim status,Verification status,License verified,Insurance verified,Contacted,Contact date,Notes,SOS match status,SOS entity name,SOS status,SOS filing date,SOS address match,slug,phone,email,website,address,city,state,zip,serviceArea,minFee,truckCapacity,hoseLength,waterType,waterSource,isVerifiedPro,isActive,isClaimed,yearsInBusiness,serviceRadius,truckCount,pumpType,hoseMaterial,insuranceCertificate,hours,plusCode,ada,lgbtqFriendly,veteranOwned,womenOwned,certification,description,Duplicate Flag,siteStatus
Rainmaker Rentals,,,,,,,,,,,,,apache-junction,(480) 474-9603,,,,Apache Junction,AZ,,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,live
Arizona Water Company Bulk Water Vending,,,,,,,,,,,,,arizona-water-company-bulk-water-vending,(480) 982-2201,,https://www.azwater.com/,200 North Ocotillo Drive,Apache Junction,AZ,85120,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,live
WATER DELIVERY,,,,,,,,,,,,,water-delivery,(928) 233-2332,,,451 Park Avenue,Ash Fork,AZ,86320,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,live
Clear Choice Water Delivery,,,,,,,,,,,,,clear-choice-water-delivery-az,+19282077253,,https://clearchoicewaterdelivery.com/,36233 AZ-61,Concho,AZ,85924,"Concho, Vernon and St Johns.",,3000,,,,FALSE,FALSE,FALSE,,,,,,,Sunday: 8 AM–4 PM  Monday: 7 AM–5 PM  Tuesday: 7 AM–5 PM  Wednesday: 7 AM–5 PM  Thursday: 7 AM–5 PM  Friday: 7 AM–5 PM  Saturday: 7 AM–5 PM,"977W+9C Concho, Arizona",,,,,,Bulk water delivery.   1000 Gallon Delivery We offer 1000 gallon deliveries to all areas. With our minimum being approximately 300 gallons to the Concho & Vernon area.  2000 Gallon Delivery We also have a larger truck and are able to deliver 2000 gallons at once for those who have larger tanks!,,live
Concho Discount Water Delivery,,,,,,,,,,,,,concho-discount-water-delivery,(928) 243-7732,,,30 County Road 5059,Concho,AZ,85924,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,live
Rockin R Water Delivery,,,,,,,,,,,,,rockin-r-water-delivery,(928) 775-7302,,http://www.rockinrwater.com/,"Dewey, AZ 86327, USA",Dewey-Humboldt,AZ,86327,,,2200,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,"Hauled Water Delivery Available throughout Prescott, Prescott Valley, Dewey, Mayer, Chino Valley, and Paulden",,live
"Agua Trucks, LLC",,,,,,,,,,,,,agua-trucks-llc,(623) 734-7767,,https://www.aguatrucks.com/,8525 N 132nd Dr,El Mirage,AZ,85335,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,Skip to primary navigation Skip to main content Skip to footer,,pending
Right Water Hauling,,,,,,,,,,,,,right-water-hauling,(928) 527-7973,,http://www.rightwateraz.com/contact,7431 Deville Lane,Flagstaff,AZ,86004,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,Flagstaff Holbrook Navajo Tribal Reservation Tusayan Verde Valley Williams,,live
Water Depot,,,,,,,,,,,,,water-depot,(602) 859-0092,,,6900 North 79th Avenue,Glendale,AZ,85303,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,rejected
Golden Valley Water Hauling,,,,,,,,,,,,,golden-valley-water-hauling,(928) 565-5201,,https://goldenvalleywater.com/,5126 Cowlic Road,Golden Valley,AZ,86413,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,live
Splash Bulk Water,,,,,,,,,,,,,splash-bulk-water,(520) 623-0909,,,16821 Silverbell Rd,Marana,AZ,85653,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,USDOT 440357,"Splash Bulk Water provides safe, clean, and pre-treated bulk water delivery services in the Marana and Tucson, AZ areas.",,live
HD Water Outlet LLC,,,,,,,,,,,,,hd-water-outlet-llc,(480) 834-8983,,,1119 South Mesa Drive,Mesa,AZ,85210,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,live
Saguaro Water & Ag Services,,,,,,,,,,,,,saguaro-water-ag-services,(480) 555-0598,water@saguaroag.com,https://saguaroag.com,780 S Ellsworth Rd,Mesa,AZ,85208,"Mesa, Apache Junction, Gold Canyon, Florence, Coolidge, Casa Grande",275,4500,100,both,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,"Agricultural and potable water specialists serving the East Valley and rural Arizona. We fill stock tanks, irrigate orchards, service remote work camps, and deliver emergency potable water to areas without municipal supply. Owner-operated with 18 years of experience.",,live
Wild West Water Delivery,,,,,,,,,,,,,wild-west-water-delivery,(480) 982-4508,,https://www.wildwestwaterdelivery.com/,928 North Mountain Road,Mesa,AZ,85207,"Serving Maricopa and Pinal Counties, including Mesa, Apache Junction, Chandler, Gilbert, Gold Canyon, Queen Creek, San Tan Valley, Florence, Coolidge, and Casa Grande.",,5000,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,live
H2o 2u Potable Water Delivery,,,,,,,,,,,,,h2o-2u-potable-water-delivery,(928) 535-5620,,,,Overgaard,AZ,,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,live
"Pinetop , White Mountain Water Hauling",,,,,,,,,,,,,pinetop-white-mountain-water-hauling,(928) 240-1165,,https://www.whitemountainwaterhauling.com/,,Peoria,AZ,,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,live
