name,slug,phone,email,website,address,city,state,zip,serviceArea,minFee,truckCapacity,hoseLength,waterType,waterSource,isVerifiedPro,isActive,isClaimed,yearsInBusiness,serviceRadius,truckCount,pumpType,hoseMaterial,insuranceCertificate,hours,plusCode,ada,lgbtqFriendly,veteranOwned,womenOwned,certification,description
"Saguaro Water & Ag Services","saguaro-water-ag-services","(480) 555-0598","water@saguaroag.com","https://saguaroag.com","780 S Ellsworth Rd","Mesa","AZ","85208","Mesa, Apache Junction, Gold Canyon, Florence, Coolidge, Casa Grande","275","4500","100","both","","true","false","false","","","","","","","","","","","","","","Agricultural and potable water specialists serving the East Valley and rural Arizona. We fill stock tanks, irrigate orchards, service remote work camps, and deliver emergency potable water to areas without municipal supply. Owner-operated with 18 years of experience."
"Camel Water Service","camel-water-service","(520) 744-1300","","","","Tucson","AZ","","","","","","","","false","false","false","","","","","","","","","","","","","",""
"Wendy's Water Truck Company LLC","wendys-water-truck-company","+16619444420","","https://wendyswater.com/","Pearblossom","Antelope Valley","CA","93553","","","4000","","","","false","true","false","","","","","","","","","false","false","false","true","License # 96094","The A.V.'s Only Drinking Water Source. We Are California Health Dept. Certified and L.A. County Approved.  - Swimming Pool Services - image2 Pools, ponds, we do it all!     *Certified clean water ONLY  *NON- POTABLE, IRRIGATION, or RECYCLED WATER NEVER USED"
"H2eco Water","h2eco-water","","","","","Phoenix","AZ","","","250","","","","","false","true","","","","","","","","","","","","","","",""
"Andy's Water Truck Service","andys-water-truck-service","(520) 622-0933","","","4718 S Irving Ave, Tucson, AZ 85714, USA","Tucson","AZ","","","","","","","","false","false","false","","","","","","","","","","","","","",""
"Splash Water Services","splash-water-services","(520) 623-3284","","https://splashbulkwater.com/","16821 W Silverbell, Marana, AZ 85653, USA","Tucson","AZ","","","","4000","","","","false","false","false","","","","","","","","","","","","","","With Splash Bulk Water, you can rest assured that the water is clean and safe. When you opt for bulk water delivery service, you can be confident that you will receive clean, pre-treated water, which means it will have less rust, minerals, and metals."
"Alpha Omega Water Hauling","alpha-omega-water-hauling","(928) 582-1126","","","","Yavapai","AZ","","","","","","","","false","true","false","","","","","","","","","","","","","",""
"Apache Junction","apache-junction","(480) 474-9603","","","","Rainmaker Rentals","AZ","","","","","","","","false","true","false","","","","","","","","","","","","","",""
"H2o 2u Potable Water Delivery","h2o-2u-potable-water-delivery","(928) 535-5620","","","","Overgaard","AZ","","","","","","","","false","true","false","","","","","","","","","","","","","",""
"Pinetop , White Mountain Water Hauling","pinetop-white-mountain-water-hauling","(928) 240-1165","","","","Peoria","AZ","","","","","","","","false","true","false","","","","","","","","","","","","","",""
"Hills of Texas Bulk Water","hills-of-texas-bulk-water","+15125546451","","","564 Parking lot","Austin","TX","78767","","","","","","","false","true","false","","","","","","","Monday: 9 AM–5 PM  Tuesday: 9 AM–5 PM   Wednesday: 9 AM–5 PM   Thursday: 9 AM–5 PM   Friday: 9 AM–5 PM   Saturday:  Closed   Sunday:  Closed","7796+X2 Austin, Texas","","","","","",""
"D & S Water Hauling","d-and-s-water-hauling","+16143783236","","",""," Groveport","OH","43125","","","","","","","false","true","false","","","","","","","","V3FR+JF Groveport, Ohio","false","false","false","false","",""
